"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSC70-1",7.50679827975124e-10,-0.643469989270752,0.06,0.196,1.34011362890119e-05
"AAC1",8.4424653905859e-10,-0.535529608911406,0.065,0.206,1.50714892152739e-05
"AT1G51650",8.70530888688112e-10,-0.873958467242121,0.039,0.156,1.55407174248602e-05
"FAD6",9.06900989162362e-10,-0.689766211530937,0.051,0.18,1.61899964585265e-05
"AT5G57290",9.37926070299257e-10,-0.973393794725738,0.033,0.142,1.67438562069823e-05
"AT5G27850",1.04524292018213e-09,-0.694382816270475,0.067,0.206,1.86596766110915e-05
"AT4G39040",1.21558861754502e-09,-1.45628844757156,0.019,0.111,2.17006880004137e-05
"SAC52",1.2729545449877e-09,-0.528890290281701,0.08,0.232,2.27247845371204e-05
"emb2394",1.31160297794461e-09,-0.494498694825704,0.094,0.255,2.34147363622671e-05
"AT1G18540",1.59255040619312e-09,-0.485775607770651,0.05,0.175,2.84302098513595e-05
"AT2G39670",1.6518248539801e-09,-1.26033626916419,0.017,0.106,2.94883772932528e-05
"RPL23AA",1.70887063801084e-09,-0.790614441571164,0.045,0.163,3.05067586297695e-05
"RSR4",1.70957575202685e-09,-0.536719138101725,0.051,0.177,3.05193463251833e-05
"emb2184",1.80711629655280e-09,-0.284930684425572,0.086,0.241,3.22606401260605e-05
"AT4G29390",1.90939946255661e-09,-1.08403638270765,0.031,0.135,3.40865992055606e-05
"AT5G65220",1.93045472351899e-09,-0.335109826337749,0.116,0.296,3.4462477724261e-05
"EMB1080",1.97201285148487e-09,-0.726907247064582,0.05,0.173,3.52043734247079e-05
"AT4G17390",2.30903567348791e-09,-0.546099400722419,0.058,0.189,4.12209048431062e-05
"RPL15",2.63340637485396e-09,-0.326123287007203,0.101,0.267,4.70115706038929e-05
"ACO3",2.740506610009e-09,-0.381189962357683,0.094,0.253,4.89235240018807e-05
"AT3G16080",3.19664684947396e-09,-1.19189446776657,0.034,0.139,5.70665395568091e-05
"AT1G77940",3.23781993483586e-09,-0.560040999279768,0.045,0.161,5.78015614766898e-05
"AT5G55220",3.31651832338907e-09,-0.308119167146859,0.065,0.199,5.92064851091416e-05
"AT5G16130",3.35223995374989e-09,-0.591354620946663,0.05,0.17,5.9844187654343e-05
"CP33",3.70445456316005e-09,-0.976445779207409,0.031,0.132,6.61319228615331e-05
"UBQ1",3.9512298276681e-09,-0.936953757730881,0.055,0.177,7.05373548835309e-05
"AT3G60210",4.45138441641607e-09,-1.02716407958152,0.027,0.125,7.94661146018597e-05
"AT3G54210",4.51730697529668e-09,-0.38143048943797,0.104,0.267,8.06429641229963e-05
"AT2G40205",4.55776903060699e-09,-1.16100467120756,0.022,0.113,8.1365292734396e-05
"AT3G04920",4.58230107804034e-09,-1.34466445033602,0.019,0.106,8.18032388451761e-05
"AT3G05560",4.58382915942048e-09,-0.688117922325773,0.048,0.165,8.18305181539744e-05
"RPL4",4.86449529525045e-09,-0.3268174021102,0.067,0.201,8.68409700108111e-05
"AT2G41840",4.87282226777564e-09,-0.64560410672868,0.043,0.156,8.69896231243308e-05
"YLMG1-1",4.97867991397363e-09,-0.789041781554225,0.045,0.158,8.88793938242572e-05
"AT5G07090",4.99722358529096e-09,-0.534744098919875,0.043,0.156,8.92104354446141e-05
"PORB",5.25427664531087e-09,-0.317239364193131,0.255,0.522,9.37993466720896e-05
"PPa6",5.3333604462747e-09,-0.540671874654984,0.063,0.194,9.5211150686896e-05
"AT5G28750",5.60789420991002e-09,-0.661345434522064,0.033,0.135,0.000100112127435314
"RPL16B",6.29930539102032e-09,-1.10842669833826,0.031,0.13,0.000112455199840495
"ROC3",6.52508579326416e-09,-0.379531752728845,0.101,0.26,0.000116485831581352
"AT5G27770",6.70546844073341e-09,-1.39899024355985,0.024,0.116,0.000119706022603973
"RBP31",7.08368364562618e-09,-0.346210653183172,0.128,0.307,0.000126457920441719
"eEF-1Bb1",7.34687675416699e-09,-0.35976073532004,0.072,0.208,0.000131156443815389
"DEG2",7.44033236274803e-09,-0.514289461731841,0.046,0.161,0.000132824813339778
"ATNTT2",7.9047509960335e-09,-1.02390890454398,0.036,0.139,0.00014111561478119
"AT2G25210",7.9813380085987e-09,-1.00562605264968,0.024,0.116,0.000142482846129504
"UBL5",8.33755261371796e-09,-0.798916294931558,0.031,0.13,0.000148841989260093
"PRK",8.43537211295706e-09,-0.358851808567752,0.098,0.253,0.000150588262960509
"PAB2",8.67033995764715e-09,-0.783208034796757,0.043,0.154,0.000154782908923917
"HSP93-III",9.49487864523613e-09,-0.610464432917502,0.039,0.147,0.000169502573574755
"SIP3",1.09796125609011e-08,-1.01572853618692,0.029,0.125,0.000196008043437207
