"gene","MoransI_observed","MoransI_p.value","MoransI_p.adj"
"ACHT4",NA,NA,NA
"AT1G08580",NA,NA,NA
"AT1G08590",NA,NA,NA
"AT1G08592",NA,NA,NA
"ATRX",NA,NA,NA
"AT1G08610",NA,NA,NA
"PKDM7D",NA,NA,NA
"THA1",NA,NA,NA
"CJD1",NA,NA,NA
"PPCK1",NA,NA,NA
"MGP2",NA,NA,NA
"ZIGA4",NA,NA,NA
"PS1",NA,NA,NA
"AT1G08710",NA,NA,NA
"EDR1",NA,NA,NA
"XIC",NA,NA,NA
"AT1G08750",NA,NA,NA
"AT1G08760",NA,NA,NA
"PRA1.E",NA,NA,NA
"AIP3",NA,NA,NA
"AT1G08800",NA,NA,NA
"MYB60",NA,NA,NA
"VAP27-2",NA,NA,NA
"CSD1",NA,NA,NA
"emb2411",NA,NA,NA
"AT1G08845",NA,NA,NA
"H2AXA",NA,NA,NA
"AT1G08890",NA,NA,NA
"AT1G08900",NA,NA,NA
"AT1G08910",NA,NA,NA
"ESL1",NA,NA,NA
"ERD6",NA,NA,NA
"AT1G08940",NA,NA,NA
"CAX11",NA,NA,NA
"NF-YC9",NA,NA,NA
"AMI1",NA,NA,NA
"NP1",NA,NA,NA
"AT1G09010",NA,NA,NA
"SNF4",NA,NA,NA
"AT1G09040",NA,NA,NA
"AT1G09050",NA,NA,NA
"AT1G09060",NA,NA,NA
"SRC2",NA,NA,NA
"BIP3",NA,NA,NA
"RPT5B",NA,NA,NA
"AT1G09130",NA,NA,NA
"SR30",NA,NA,NA
"AT1G09150",NA,NA,NA
"AT1G09160",NA,NA,NA
"SARA1A",NA,NA,NA
"AT1G09190",NA,NA,NA
"AT1G09195",NA,NA,NA
"AT1G09200",NA,NA,NA
"CRT1b",NA,NA,NA
"AT1G09220",NA,NA,NA
"AT1G09230",NA,NA,NA
"AT1G09250",NA,NA,NA
"IMPA-4",NA,NA,NA
"AT1G09280",NA,NA,NA
"AT1G09290",NA,NA,NA
"AT1G09300",NA,NA,NA
"AT1G09310",NA,NA,NA
"AT1G09320",NA,NA,NA
"AT1G09330",NA,NA,NA
"CRB",NA,NA,NA
"GolS3",NA,NA,NA
"AT1G09390",NA,NA,NA
"AT1G09410",NA,NA,NA
"NIMIN-3",NA,NA,NA
"G6PD4",NA,NA,NA
"ACLA-3",NA,NA,NA
"AT1G09440",NA,NA,NA
"Haspin",NA,NA,NA
"AT1G09460",NA,NA,NA
"AT1G09470",NA,NA,NA
"AT1G09480",NA,NA,NA
"AT1G09490",NA,NA,NA
"AT1G09520",NA,NA,NA
"PIF3",NA,NA,NA
"GLP5",NA,NA,NA
"PHYA",NA,NA,NA
"AT1G09575",NA,NA,NA
"AT1G09580",NA,NA,NA
"AT1G09590",NA,NA,NA
"AT1G09600",NA,NA,NA
"GXM3",NA,NA,NA
"AT1G09620",NA,NA,NA
"RAB11c",NA,NA,NA
"AT1G09640",NA,NA,NA
"AT1G09645",NA,NA,NA
"AT1G09660",NA,NA,NA
"AT1G09680",NA,NA,NA
"AT1G09690",NA,NA,NA
"HYL1",NA,NA,NA
"AT1G09710",NA,NA,NA
"AT1G09730",NA,NA,NA
"AT1G09740",NA,NA,NA
"AT1G09750",NA,NA,NA
"U2A'",NA,NA,NA
"CDC5",NA,NA,NA
"iPGAM1",NA,NA,NA
"AT1G09794",NA,NA,NA
"ATP-PRT2",NA,NA,NA
"AT1G09800",NA,NA,NA
"ECT11",NA,NA,NA
"AT1G09812",NA,NA,NA
"POLD4",NA,NA,NA
"AT1G09820",NA,NA,NA
"PUR2",NA,NA,NA
"SK41",NA,NA,NA
"XBCP3",NA,NA,NA
"AT1G09870",NA,NA,NA
"AT1G09900",NA,NA,NA
"AT1G09910",NA,NA,NA
"AT1G09920",NA,NA,NA
"HEMA2",NA,NA,NA
"RAS1",NA,NA,NA
"SUT4",NA,NA,NA
"LRR XI-23",NA,NA,NA
"AT1G09980",NA,NA,NA
"AT1G09995",NA,NA,NA
"AT1G10020",NA,NA,NA
"ERG28",NA,NA,NA
"AT1G10040",NA,NA,NA
"AT1G10050",NA,NA,NA
"BCAT-1",NA,NA,NA
"AT1G10090",NA,NA,NA
"AT1G10095",NA,NA,NA
"AT1G10120",NA,NA,NA
"ECA3",NA,NA,NA
"AT1G10140",NA,NA,NA
"AT1G10150",NA,NA,NA
"PP2-A10",NA,NA,NA
"NFXL1",NA,NA,NA
"AT1G10180",NA,NA,NA
"WLIM1",NA,NA,NA
"MPK1",NA,NA,NA
"AT1G10225",NA,NA,NA
"FRS11",NA,NA,NA
"GRP23",NA,NA,NA
"AT1G10280",NA,NA,NA
"ADL6",NA,NA,NA
"AT1G10310",NA,NA,NA
"AT1G10320",NA,NA,NA
"AT1G10350",NA,NA,NA
"GSTU18",NA,NA,NA
"ERD9",NA,NA,NA
"AT1G10390",NA,NA,NA
"AT1G10400",NA,NA,NA
"AT1G10410",NA,NA,NA
"AT1G10417",NA,NA,NA
"PP2A-2",NA,NA,NA
"SNL6",NA,NA,NA
"GLP7",NA,NA,NA
