"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GER2",0.0690980191609002,1.04162366954742,0.211,0.383,1
"MTACP-1",0.0691309304720528,0.734873664142772,0.151,0.284,1
"PYR1",0.0691856321161579,2.30381330964239,0.173,0.099,1
"PUP11",0.0693230008711073,0.406804197269874,0.054,0.123,1
"AT2G04305",0.0696446135102067,0.783553287436662,0.076,0.16,1
"AT4G17150",0.0696446135102067,0.523459749607897,0.076,0.16,1
"PLDDELTA",0.0696446135102067,1.08165464143854,0.076,0.16,1
"TRB1",0.0699057357105848,0.410797866886256,0.054,0.123,1
"SHD",0.069929749747783,0.647233484736167,0.503,0.926,1
"AT2G30020",0.070492485187423,1.32252742869147,0.054,0.123,1
"AT5G43710",0.070492485187423,0.319167808366297,0.054,0.123,1
"AT2G20760",0.070670211403219,1.02295555290026,0.195,0.358,1
"PIS1",0.071013844611877,0.669495538838978,0.092,0.185,1
"AT4G17670",0.0710832684828574,0.252791525910596,0.054,0.123,1
"AT4G15160",0.0710973440928262,2.55670573896756,0.216,0.148,1
"PSK1",0.0711750974227133,1.16270499675408,0.114,0.222,1
"CSLD3",0.0711840744479764,1.26817779135321,0.076,0.16,1
"AT5G49950",0.071678104793838,0.868108852562016,0.054,0.123,1
"mMDH2",0.0717033854101536,0.683302632136147,0.076,0.16,1
"PDE331",0.072277013332307,0.59280198482262,0.054,0.123,1
"AT2G17320",0.072277013332307,1.05580695654865,0.054,0.123,1
"NTMC2T2.1",0.072463908944143,0.885683276327048,0.092,0.185,1
"AT1G67590",0.0728800133244727,0.589495658946117,0.054,0.123,1
"BRM",0.0735922876916148,1.00700663199919,0.07,0.148,1
"AT3G11070",0.0739379792943238,1.05888748989447,0.092,0.185,1
"AT5G22760",0.0740983646416517,0.510640036716734,0.054,0.123,1
"COI1",0.0741170814362581,-0.726791606330644,0.049,0.111,1
"GRF8.1",0.0743159994550085,1.2669976077271,0.184,0.346,1
"UBA1",0.0746092591260571,1.05173126863576,0.146,0.272,1
"AT5G02502",0.0747006380775234,0.847758676093149,0.07,0.148,1
"AT2G41600",0.074713754483785,1.17102399947888,0.054,0.123,1
"AT3G21215",0.074713754483785,0.829001104652726,0.054,0.123,1
"TOPP8",0.074713754483785,1.06234867354702,0.054,0.123,1
"AT5G51510",0.074713754483785,0.624944892933202,0.054,0.123,1
"AT3G05545",0.0749342438498293,0.803212448204159,0.092,0.185,1
"ASP5",0.0753191502542703,0.778398872304352,0.13,0.247,1
"EBS5",0.0753333128123603,1.01381381236491,0.054,0.123,1
"AT5G53650",0.0758225865856851,0.463453819977967,0.07,0.148,1
"AVP1",0.0768605228962465,0.32425273323735,0.508,0.926,1
"GLB1",0.0769582468865565,0.791112919024073,0.07,0.148,1
"WR3",0.0772038985557991,1.1095272794384,0.151,0.284,1
"MAT3",0.0780893106550307,0.984215396364554,0.211,0.383,1
"PMT5",0.0781075475429373,0.270875039535796,0.07,0.148,1
"BSL3",0.0781077327482807,0.301184753466419,0.07,0.148,1
"ABIL1",0.0781077327482807,0.523485176603712,0.07,0.148,1
"DHAR2",0.0782125683301648,0.510001831649246,0.086,0.173,1
"FAD3",0.0784036933487197,0.597965196959822,0.368,0.679,1
"BLI",0.0786876958400602,0.291379770121655,0.07,0.148,1
"CSN6A",0.0794185019450385,-0.328826570999755,0.049,0.111,1
"PGLCT",0.0798165897951567,1.31341952231302,0.13,0.247,1
"EXO70A1",0.0801023392622566,1.04444347825014,0.049,0.111,1
"AT3G49720",0.0803197440221693,0.67419585619833,0.173,0.321,1
"UBC2",0.0805874833229807,0.67283503053141,0.173,0.309,1
"AT1G65270",0.0806378774420509,1.14856784105601,0.146,0.272,1
"AT1G01300",0.0809103153323082,0.761989521730929,0.141,0.259,1
"PBE1",0.0811061267939457,0.592673308449988,0.297,0.519,1
"JMJD5",0.0814843665933468,0.84119716381201,0.049,0.111,1
"LINC1",0.081640282531405,0.510116961025383,0.07,0.148,1
"AT3G02280",0.0821826014043829,0.381913191767421,0.049,0.111,1
"AT1G78850",0.0821865784365771,1.29377794181653,0.124,0.235,1
"AT2G43610",0.0827329142640043,2.14799602978343,0.422,0.494,1
"AT1G34360",0.0828856801823359,0.437337106066138,0.049,0.111,1
"AT1G65820",0.0834411645273244,0.692983057113187,0.157,0.284,1
"AT2G38610",0.0835936253319395,0.416562309884298,0.049,0.111,1
"AT5G10820",0.0835936253319395,0.317358611532993,0.049,0.111,1
"TIC40",0.0835936253319395,0.25535320692505,0.049,0.111,1
"CYSB",0.0850133672977629,1.55572296474665,0.13,0.247,1
"SNF7.2",0.0850242043668083,0.521561071054857,0.049,0.111,1
"GRF9",0.0850242043668083,0.628675892345234,0.049,0.111,1
"IAA16",0.0854035520225705,1.45984252903595,0.086,0.173,1
"AT4G15470",0.0854990378636749,0.887596260493799,0.216,0.383,1
"NAI1",0.0857468830601194,0.437068387650717,0.049,0.111,1
"AT4G16430",0.0857468830601194,0.775535736845137,0.049,0.111,1
"AT5G06050",0.0857468830601194,0.583880922781445,0.049,0.111,1
"AT5G57580",0.0857468830601194,1.6185029282325,0.049,0.111,1
"ATRER1A",0.0861148423095097,1.40798419508037,0.146,0.272,1
"AT3G54400",0.086737046722513,0.6913581723805,0.103,0.198,1
"AT4G01610",0.0867376998150669,0.914097780916838,0.195,0.346,1
"KUP11",0.0872071308003923,1.18197057574843,0.049,0.111,1
"AT5G09960",0.0872071308003923,0.904965307014846,0.049,0.111,1
"ECHIA",0.0879447446362692,0.714588519198088,0.049,0.111,1
"AT5G26990",0.0879447446362692,0.496374484690158,0.049,0.111,1
"AT3G19200",0.0881330037533069,0.396350703995057,0.065,0.136,1
"AT1G28280",0.0886873816327829,1.39614243650428,0.049,0.111,1
"AT2G02960",0.0886873816327829,0.885752414767693,0.049,0.111,1
"FBW2",0.0886873816327829,0.595703766781477,0.049,0.111,1
"MKK5",0.0894350641690342,0.474733489470717,0.049,0.111,1
"AT5G12120",0.0894350641690342,0.305876192558277,0.049,0.111,1
"SEC10",0.0894350641690342,1.13355389636553,0.049,0.111,1
"AT5G12850",0.0894350641690342,1.70136415364194,0.049,0.111,1
"AT4G19860",0.0908142029691854,0.701640015293823,0.065,0.136,1
"PRF1",0.0917016552698691,2.62989868070247,0.249,0.198,1
"AT1G10120",0.0921791947562544,0.922282332900511,0.065,0.136,1
"AT3G03270",0.0925945323588669,0.358353815022475,0.281,0.469,1
"PECT1",0.092867844428129,0.368197650459561,0.065,0.136,1
"PBG1",0.0931334742730886,0.860191151961616,0.178,0.321,1
"AT4G21570",0.0932442087278811,0.88217211208326,0.157,0.284,1
"AT3G15980",0.0938798667049593,1.60006916944695,0.189,0.346,1
"MSS3",0.0939481640975688,3.03804487892728,0.162,0.099,1
"EIF4B2",0.0940243157120433,1.22295278786721,0.103,0.198,1
"OTS2",0.0940431646017385,0.367165928223503,0.081,0.16,1
"AT2G45540",0.0942575308580425,0.594036699094714,0.065,0.136,1
"NEK2",0.0942575308580425,1.0115575351117,0.065,0.136,1
"RPN10",0.0944481946628581,1.10196514006184,0.119,0.222,1
"PCR2",0.0949585993999856,0.257744587400236,0.065,0.136,1
"NSF",0.0949585993999856,1.35869721524894,0.065,0.136,1
"AT3G42050",0.0953860356778406,0.887326715725139,0.173,0.309,1
"AT1G30630",0.0954540536473257,0.846297334689123,0.2,0.358,1
"RPT2a",0.0955430855781038,1.10956756514011,0.216,0.37,1
"AT4G24330",0.0956375680198134,0.559306511895556,0.097,0.185,1
"CGR3",0.0959744185330223,1.22112314372168,0.081,0.16,1
"AT5G41950",0.0961183190784259,0.569963349370584,0.168,0.296,1
"UDG4",0.0965085549785735,2.49329154558047,0.173,0.111,1
"RGF2",0.0968218330605161,3.96025259731273,0.108,0.049,1
"AT3G30380",0.0972794644728768,1.40343511418387,0.081,0.16,1
"BETA-UP",0.0978047460643155,1.39537191466125,0.065,0.136,1
"FLDH",0.0982226167503836,2.82765088454144,0.135,0.074,1
"Tudor1",0.098414258646122,0.678991621106713,0.362,0.642,1
"AT1G33470",0.0985589484105094,0.429229975897702,0.059,0.123,1
"AT5G58030",0.0986855984913786,0.996555021905528,0.097,0.185,1
