"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.95736132410261e-113,4.62226506553079,0.457,0.007,1.4205481435788e-108,"4","CRF3"
1.55258191074231e-112,2.3805988790231,0.741,0.038,2.77166922705718e-108,"4","AT3G58700"
3.34706070018618e-112,2.49703614065403,0.827,0.052,5.97517276197237e-108,"4","AT4G10450"
5.7525888335484e-112,3.74443421273946,0.519,0.013,1.02695215856506e-107,"4","AT3G12860"
7.49656186577323e-112,4.04461563836612,0.531,0.014,1.33828622427784e-107,"4","AIL6"
1.68209501294693e-111,2.30244469556766,0.753,0.041,3.00287601711286e-107,"4","AT3G01790"
2.45173922440219e-111,2.47669652349219,0.778,0.045,4.3768448634028e-107,"4","AT3G05060"
1.63033602085685e-110,3.28137464080092,0.543,0.015,2.91047586443365e-106,"4","AT1G60640"
2.02304181879398e-109,2.02746087270907,0.728,0.038,3.61153425491101e-105,"4","AT2G40360"
3.50681025047239e-109,2.11297512214833,0.679,0.031,6.26035765914332e-105,"4","AT1G77030"
1.7514908732854e-108,2.44170365503257,0.704,0.036,3.1267615069891e-104,"4","AT5G04600"
8.83449051931388e-107,1.93595806658367,0.765,0.045,1.57713324750791e-102,"4","AT3G06680"
9.23007735766671e-107,1.77755275634436,0.864,0.061,1.64775340989066e-102,"4","AT2G19740"
1.15426109223408e-106,1.72083114161039,0.815,0.053,2.06058690185628e-102,"4","AT5G23900"
2.4098260433854e-106,2.79425328507517,0.58,0.021,4.30202145265162e-102,"4","AT5G15550"
1.7755579743165e-105,2.22796285810558,0.63,0.027,3.16972609574981e-101,"4","AT4G25730"
5.14627150193981e-105,3.5779298532076,0.568,0.02,9.18712388526294e-101,"4","AT1G17285"
2.39672270612976e-104,2.72126676768278,0.494,0.013,4.27862937498285e-100,"4","AT5G61880"
2.11160686606241e-103,2.27084772019307,0.543,0.018,3.76964057729461e-99,"4","AT5G64420"
4.15157624799615e-103,2.15801104728411,0.593,0.024,7.41139391792273e-99,"4","LARP1a"
5.52564779202066e-103,2.40454978815194,0.63,0.029,9.86438643831529e-99,"4","AT3G23620"
3.18906930427136e-102,2.13511163441218,0.765,0.049,5.69312652198524e-98,"4","NAP57"
5.89266938214877e-102,2.50018172026591,0.654,0.033,1.0519593381012e-97,"4","FIB2"
7.65517886259259e-102,1.89580386000541,0.716,0.041,1.36660253055003e-97,"4","RBP45A"
3.314156823023e-25,3.74369073778319,0.474,0.082,5.91643276046066e-21,"5","ACO2"
9.71204511469636e-22,4.1170413791793,0.368,0.057,1.73379429387559e-17,"5","AGP12"
1.83911010178378e-18,12.4284681511129,0.053,0,3.2831793537044e-14,"5","SIAR1"
5.38637361656484e-16,5.34945234415767,0.07,0.001,9.61575418029155e-12,"5","AT5G61660"
6.69008608307573e-16,5.01079244847149,0.105,0.005,1.19431416755068e-11,"5","AT2G04850"
6.50276582271658e-14,6.20071899768457,0.053,0.001,1.16087375467136e-09,"5","AT4G33420"
9.61364661605247e-14,5.38472184978358,0.07,0.002,1.71622819389769e-09,"5","AT1G49230"
1.04095324511125e-13,5.34124612011707,0.07,0.002,1.85830973317261e-09,"5","AT5G22860"
3.36386052637835e-13,3.88478728427179,0.088,0.004,6.00516381169063e-09,"5","XCP2"
8.377343407511e-13,11.3707622981175,0.035,0,1.49552334510886e-08,"5","BEE3"
8.377343407511e-13,11.8975455744525,0.035,0,1.49552334510886e-08,"5","IRX1"
8.377343407511e-13,12.4429687774419,0.035,0,1.49552334510886e-08,"5","IAA29"
8.377343407511e-13,11.3950281995815,0.035,0,1.49552334510886e-08,"5","NAC101"
5.05983776982095e-12,5.19778444841219,0.158,0.019,9.03282238668436e-08,"5","WAT1"
3.41492884829666e-11,6.9329110098836,0.053,0.001,6.09633097997919e-07,"5","APT2"
3.48749572382264e-11,6.35039226067259,0.053,0.001,6.22587736616818e-07,"5","AT3G27200"
