"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"eIF6A",1.52973836157489e-19,-2.60317490757207,0.041,0.605,2.73088892308349e-15
"AT2G36170",1.55992913664799e-19,-1.71595465862339,0.152,0.84,2.78478549474399e-15
"AT2G34480",1.58216445404748e-19,-1.30331066696821,0.303,0.988,2.82447998336555e-15
"RLK902.1",1.66056010167914e-19,-1.40171281455739,0.172,0.864,2.9644318935176e-15
"TIM8",1.78709615347672e-19,-3.03482183186556,0.062,0.642,3.19032405318665e-15
"AT3G44590",1.82020979039312e-19,-3.23025872328114,0.021,0.543,3.2494385178098e-15
"AT5G19440",1.90936726700648e-19,-1.37105218233582,0.117,0.802,3.40860244505997e-15
"Cpn60beta3",2.01490062589715e-19,-2.94480893993221,0.055,0.63,3.59700059735158e-15
"AT5G57290",2.06415342653089e-19,-1.33534039163983,0.255,0.975,3.68492669704295e-15
"FKBP53",2.07000833925865e-19,-1.67170657006911,0.131,0.765,3.69537888724453e-15
"AT5G52820",2.07660759994426e-19,-4.57422895902678,0.021,0.531,3.7071598874205e-15
"ABCF1",2.20371860119257e-19,-2.17666957341959,0.097,0.716,3.93407844684897e-15
"BOB1",2.49730992493773e-19,-1.57826507782837,0.069,0.667,4.45819767799884e-15
"AT3G10610",2.56108859786525e-19,-5.29802712156638,0.014,0.506,4.57205536490905e-15
"HSP81-3",2.70705820347117e-19,-1.59635102311684,0.228,0.926,4.83264030483673e-15
"AT2G36930",3.2334120940929e-19,-0.601346895448754,0.062,0.642,5.77228727037465e-15
"CPN20",3.73874996334051e-19,-1.24735479034233,0.131,0.778,6.67441643455548e-15
"PPa6",3.86201034316245e-19,-2.02141537610212,0.069,0.667,6.89446086461361e-15
"Hsp89.1",4.80126598369591e-19,-2.25261240804853,0.131,0.765,8.57122003409395e-15
"RBP47C'",5.10937124713452e-19,-2.55557577650743,0.041,0.593,9.12124955038455e-15
"ASPGB1",5.77439231424757e-19,-1.09958934588012,0.014,0.506,1.03084451593948e-14
"AT5G02450",6.08702028836229e-19,-1.39898666899631,0.276,0.988,1.08665486187844e-14
"AT3G52040",6.71879591453471e-19,-2.3123788914816,0.021,0.531,1.19943944666274e-14
"AT3G28900",6.76743443065929e-19,-2.05138007432358,0.076,0.667,1.2081223945613e-14
"BTF3",8.68967800872274e-19,-0.998314485795471,0.131,0.778,1.55128131811718e-14
"AT3G63400",8.69803954757335e-19,-5.43219115671771,0.014,0.494,1.55277402003279e-14
"PRMT11",9.19921702844088e-19,-5.58676899920224,0.014,0.494,1.64224422391727e-14
"AT3G06320",9.2737982817594e-19,-3.26360948893036,0.034,0.568,1.65555846925969e-14
"CRF3",1.03631512207094e-18,-7.97829259011328,0,0.457,1.85002975592105e-14
"AT3G13580",1.15090710132188e-18,-1.75069880739143,0.069,0.654,2.05459935727982e-14
"AT5G62300",1.28905642886347e-18,-1.32006372377412,0.172,0.84,2.30122353680707e-14
"ATKRS-1",1.29731812885354e-18,-1.76545965578742,0.069,0.654,2.31597232362934e-14
"emb2742",1.32276730289586e-18,-5.03682710898588,0.014,0.494,2.36140418912969e-14
"AT1G60640",1.4754113551899e-18,-3.15260714219835,0.028,0.543,2.63390435128501e-14
"AT5G15810",1.59145869745938e-18,-3.944844515482,0.021,0.519,2.84107206670448e-14
"AT5G57120",1.6875012771551e-18,-2.32103012198181,0.041,0.58,3.01252727997728e-14
